이름,위도,경도,구,최근역,백명점장르,최신연도,타베로그점수,리뷰수,타베로그,구글지도
ジャパニーズスパイスカレー カリッシュ,35.677261,139.782755,주오구,茅場町駅,카레,2026,3.74,834,https://tabelog.com/tokyo/A1302/A130203/13020472/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A3%E3%83%91%E3%83%8B%E3%83%BC%E3%82%BA%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%82%AB%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%20%E8%8C%85%E5%A0%B4%E7%94%BA%E9%A7%85
BLAKES for JOURNEY,35.674503,139.711239,시부야구,北参道駅,카레,2026,3.72,556,https://tabelog.com/tokyo/A1306/A130601/13195491/,https://www.google.com/maps/search/?api=1&query=BLAKES%20for%20JOURNEY%20%E5%8C%97%E5%8F%82%E9%81%93%E9%A7%85
３丁目のカレー屋さん,35.674919,139.77078,주오구,宝町駅,카레,2026,3.77,2191,https://tabelog.com/tokyo/A1302/A130202/13025962/,https://www.google.com/maps/search/?api=1&query=%EF%BC%93%E4%B8%81%E7%9B%AE%E3%81%AE%E3%82%AB%E3%83%AC%E3%83%BC%E5%B1%8B%E3%81%95%E3%82%93%20%E5%AE%9D%E7%94%BA%E9%A7%85
スープカレー屋 鴻 神田駿河台店,35.696339,139.761372,지요다구,神保町駅,카레,2026,3.78,1954,https://tabelog.com/tokyo/A1310/A131003/13040204/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%BC%E3%83%97%E3%82%AB%E3%83%AC%E3%83%BC%E5%B1%8B%20%E9%B4%BB%20%E7%A5%9E%E7%94%B0%E9%A7%BF%E6%B2%B3%E5%8F%B0%E5%BA%97%20%E7%A5%9E%E4%BF%9D%E7%94%BA%E9%A7%85
Curry Spice Gelateria KALPASI,35.660917,139.668101,세타가야구,下北沢駅,카레,2026,3.83,2045,https://tabelog.com/tokyo/A1318/A131802/13247887/,https://www.google.com/maps/search/?api=1&query=Curry%20Spice%20Gelateria%20KALPASI%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E9%A7%85
ホットスプーン 五反田店,35.6259,139.725466,시나가와구,五反田駅,카레,2026,3.76,2704,https://tabelog.com/tokyo/A1316/A131603/13024328/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%83%E3%83%88%E3%82%B9%E3%83%97%E3%83%BC%E3%83%B3%20%E4%BA%94%E5%8F%8D%E7%94%B0%E5%BA%97%20%E4%BA%94%E5%8F%8D%E7%94%B0%E9%A7%85
ホットスプーン 西新宿店,35.689538,139.697151,신주쿠구,新宿駅,카레,2026,3.71,1400,https://tabelog.com/tokyo/A1304/A130401/13198942/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%83%E3%83%88%E3%82%B9%E3%83%97%E3%83%BC%E3%83%B3%20%E8%A5%BF%E6%96%B0%E5%AE%BF%E5%BA%97%20%E6%96%B0%E5%AE%BF%E9%A7%85
ヘンドリクス カリー バー,35.674855,139.71251,시부야구,国立競技場駅,카레,2026,3.77,1035,https://tabelog.com/tokyo/A1309/A130901/13007422/,https://www.google.com/maps/search/?api=1&query=%E3%83%98%E3%83%B3%E3%83%89%E3%83%AA%E3%82%AF%E3%82%B9%20%E3%82%AB%E3%83%AA%E3%83%BC%20%E3%83%90%E3%83%BC%20%E5%9B%BD%E7%AB%8B%E7%AB%B6%E6%8A%80%E5%A0%B4%E9%A7%85
イエローカンパニー 恵比寿本店,35.651384,139.709451,시부야구,恵比寿駅,카레,2026,3.72,1520,https://tabelog.com/tokyo/A1303/A130302/13014312/,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%A8%E3%83%AD%E3%83%BC%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%20%E6%81%B5%E6%AF%94%E5%AF%BF%E6%9C%AC%E5%BA%97%20%E6%81%B5%E6%AF%94%E5%AF%BF%E9%A7%85
ライスカレー まんてん,35.698314,139.757641,지요다구,神保町駅,카레,2026,3.73,2909,https://tabelog.com/tokyo/A1310/A131003/13000603/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%82%A4%E3%82%B9%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%81%BE%E3%82%93%E3%81%A6%E3%82%93%20%E7%A5%9E%E4%BF%9D%E7%94%BA%E9%A7%85
スマトラカレー 共栄堂,35.69621,139.759367,지요다구,神保町駅,카레,2026,3.72,3597,https://tabelog.com/tokyo/A1310/A131003/13000596/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%9E%E3%83%88%E3%83%A9%E3%82%AB%E3%83%AC%E3%83%BC%20%E5%85%B1%E6%A0%84%E5%A0%82%20%E7%A5%9E%E4%BF%9D%E7%94%BA%E9%A7%85
カリガリ 秋葉原,35.702839,139.77003,지요다구,末広町駅,카레,2026,3.77,2062,https://tabelog.com/tokyo/A1311/A131101/13178599/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AA%E3%82%AC%E3%83%AA%20%E7%A7%8B%E8%91%89%E5%8E%9F%20%E6%9C%AB%E5%BA%83%E7%94%BA%E9%A7%85
東京らっきょブラザーズ,35.706262,139.720295,신주쿠구,早稲田（メトロ）駅,카레,2026,3.71,1334,https://tabelog.com/tokyo/A1305/A130504/13040401/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%82%89%E3%81%A3%E3%81%8D%E3%82%87%E3%83%96%E3%83%A9%E3%82%B6%E3%83%BC%E3%82%BA%20%E6%97%A9%E7%A8%B2%E7%94%B0%EF%BC%88%E3%83%A1%E3%83%88%E3%83%AD%EF%BC%89%E9%A7%85
カレーショップ初恋,35.657108,139.69675,시부야구,神泉駅,카레,2026,3.76,1744,https://tabelog.com/tokyo/A1303/A130301/13240190/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E5%88%9D%E6%81%8B%20%E7%A5%9E%E6%B3%89%E9%A7%85
ヒナタ屋,35.696465,139.761454,지요다구,神保町駅,카레,2026,3.77,875,https://tabelog.com/tokyo/A1310/A131002/13057210/,https://www.google.com/maps/search/?api=1&query=%E3%83%92%E3%83%8A%E3%82%BF%E5%B1%8B%20%E7%A5%9E%E4%BF%9D%E7%94%BA%E9%A7%85
カレー屋ばんび,35.696381,139.761259,지요다구,神保町駅,카레,2026,3.73,978,https://tabelog.com/tokyo/A1310/A131003/13245356/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%E5%B1%8B%E3%81%B0%E3%82%93%E3%81%B3%20%E7%A5%9E%E4%BF%9D%E7%94%BA%E9%A7%85
トプカ 神田本店,35.69629,139.769191,지요다구,淡路町駅,카레,2026,3.79,2722,https://tabelog.com/tokyo/A1310/A131002/13000377/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%97%E3%82%AB%20%E7%A5%9E%E7%94%B0%E6%9C%AC%E5%BA%97%20%E6%B7%A1%E8%B7%AF%E7%94%BA%E9%A7%85
FISH 丸の内店,35.684073,139.766712,지요다구,大手町駅,카레,2026,3.71,1149,https://tabelog.com/tokyo/A1302/A130201/13248971/,https://www.google.com/maps/search/?api=1&query=FISH%20%E4%B8%B8%E3%81%AE%E5%86%85%E5%BA%97%20%E5%A4%A7%E6%89%8B%E7%94%BA%E9%A7%85
とんかつ檍のカレー屋 いっぺこっぺ 蒲田本店,35.560464,139.717026,오타구,蒲田駅,카레,2026,3.74,2130,https://tabelog.com/tokyo/A1315/A131503/13178494/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E6%AA%8D%E3%81%AE%E3%82%AB%E3%83%AC%E3%83%BC%E5%B1%8B%20%E3%81%84%E3%81%A3%E3%81%BA%E3%81%93%E3%81%A3%E3%81%BA%20%E8%92%B2%E7%94%B0%E6%9C%AC%E5%BA%97%20%E8%92%B2%E7%94%B0%E9%A7%85
ポークビンダルー食べる副大統領,35.662686,139.695327,시부야구,神泉駅,카레,2026,3.77,1117,https://tabelog.com/tokyo/A1303/A130301/13235448/,https://www.google.com/maps/search/?api=1&query=%E3%83%9D%E3%83%BC%E3%82%AF%E3%83%93%E3%83%B3%E3%83%80%E3%83%AB%E3%83%BC%E9%A3%9F%E3%81%B9%E3%82%8B%E5%89%AF%E5%A4%A7%E7%B5%B1%E9%A0%98%20%E7%A5%9E%E6%B3%89%E9%A7%85
フレンチカレー スプーン,35.70274,139.599692,스기나미구,西荻窪駅,카레,2026,3.74,1497,https://tabelog.com/tokyo/A1319/A131907/13093699/,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%AC%E3%83%B3%E3%83%81%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%82%B9%E3%83%97%E3%83%BC%E3%83%B3%20%E8%A5%BF%E8%8D%BB%E7%AA%AA%E9%A7%85
カリーライス専門店エチオピア 本店,35.696373,139.761413,지요다구,神保町駅,카레,2026,3.75,4768,https://tabelog.com/tokyo/A1310/A131003/13000638/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AA%E3%83%BC%E3%83%A9%E3%82%A4%E3%82%B9%E5%B0%82%E9%96%80%E5%BA%97%E3%82%A8%E3%83%81%E3%82%AA%E3%83%94%E3%82%A2%20%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E4%BF%9D%E7%94%BA%E9%A7%85
レインボウスパイス,35.696969,139.41425,立川구,立川駅,카레,2026,3.76,2100,https://tabelog.com/tokyo/A1329/A132901/13147181/,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%82%A6%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%20%E7%AB%8B%E5%B7%9D%E9%A7%85
火星カレー,35.730649,139.707218,도시마구,池袋駅,카레,2026,3.71,1664,https://tabelog.com/tokyo/A1305/A130501/13170490/,https://www.google.com/maps/search/?api=1&query=%E7%81%AB%E6%98%9F%E3%82%AB%E3%83%AC%E3%83%BC%20%E6%B1%A0%E8%A2%8B%E9%A7%85
本石亭,35.688666,139.770981,주오구,新日本橋駅,카레,2026,3.82,1227,https://tabelog.com/tokyo/A1302/A130202/13046781/,https://www.google.com/maps/search/?api=1&query=%E6%9C%AC%E7%9F%B3%E4%BA%AD%20%E6%96%B0%E6%97%A5%E6%9C%AC%E6%A9%8B%E9%A7%85
ロダン,35.675643,139.774843,주오구,宝町駅,카레,2026,3.78,2601,https://tabelog.com/tokyo/A1302/A130203/13048485/,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%83%80%E3%83%B3%20%E5%AE%9D%E7%94%BA%E9%A7%85
カレーライス専門店 ブラザー,35.713888,139.704358,신주쿠구,高田馬場駅,카레,2026,3.81,1974,https://tabelog.com/tokyo/A1305/A130503/13212319/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%A9%E3%82%A4%E3%82%B9%E5%B0%82%E9%96%80%E5%BA%97%20%E3%83%96%E3%83%A9%E3%82%B6%E3%83%BC%20%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B4%E9%A7%85
ブラウニー,35.702849,139.770496,지요다구,末広町駅,카레,2026,3.75,973,https://tabelog.com/tokyo/A1311/A131101/13006343/,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%83%A9%E3%82%A6%E3%83%8B%E3%83%BC%20%E6%9C%AB%E5%BA%83%E7%94%BA%E9%A7%85
Kalpasi,35.646861,139.628575,세타가야구,千歳船橋駅,카레,2026,3.89,494,https://tabelog.com/tokyo/A1318/A131813/13202529/,https://www.google.com/maps/search/?api=1&query=Kalpasi%20%E5%8D%83%E6%AD%B3%E8%88%B9%E6%A9%8B%E9%A7%85
プティフ・ア・ラ・カンパーニュ,35.68708,139.740642,지요다구,半蔵門駅,카레,2026,3.74,1357,https://tabelog.com/tokyo/A1308/A130803/13000254/,https://www.google.com/maps/search/?api=1&query=%E3%83%97%E3%83%86%E3%82%A3%E3%83%95%E3%83%BB%E3%82%A2%E3%83%BB%E3%83%A9%E3%83%BB%E3%82%AB%E3%83%B3%E3%83%91%E3%83%BC%E3%83%8B%E3%83%A5%20%E5%8D%8A%E8%94%B5%E9%96%80%E9%A7%85
欧風カレー ソレイユ,35.686028,139.738725,지요다구,麹町駅,카레,2026,3.73,882,https://tabelog.com/tokyo/A1309/A130904/13164006/,https://www.google.com/maps/search/?api=1&query=%E6%AC%A7%E9%A2%A8%E3%82%AB%E3%83%AC%E3%83%BC%20%E3%82%BD%E3%83%AC%E3%82%A4%E3%83%A6%20%E9%BA%B9%E7%94%BA%E9%A7%85
創作カレー MANOS,35.64836,139.668632,세타가야구,西太子堂駅,카레,2026,3.82,672,https://tabelog.com/tokyo/A1317/A131706/13237789/,https://www.google.com/maps/search/?api=1&query=%E5%89%B5%E4%BD%9C%E3%82%AB%E3%83%AC%E3%83%BC%20MANOS%20%E8%A5%BF%E5%A4%AA%E5%AD%90%E5%A0%82%E9%A7%85
般゜若 PANNYA CAFE CURRY,35.663034,139.668836,세타가야구,下北沢駅,카레,2026,3.72,1443,https://tabelog.com/tokyo/A1318/A131802/13215255/,https://www.google.com/maps/search/?api=1&query=%E8%88%AC%E3%82%9C%E8%8B%A5%20PANNYA%20CAFE%20CURRY%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E9%A7%85
シターラ 青山店,35.662311,139.712853,미나토구,表参道駅,카레,2026,3.72,1398,https://tabelog.com/tokyo/A1306/A130602/13009705/,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%82%BF%E3%83%BC%E3%83%A9%20%E9%9D%92%E5%B1%B1%E5%BA%97%20%E8%A1%A8%E5%8F%82%E9%81%93%E9%A7%85
アッチャカーナ,35.614765,139.626684,세타가야구,二子玉川駅,카레,2026,3.72,1412,https://tabelog.com/tokyo/A1317/A131708/13003136/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%83%E3%83%81%E3%83%A3%E3%82%AB%E3%83%BC%E3%83%8A%20%E4%BA%8C%E5%AD%90%E7%8E%89%E5%B7%9D%E9%A7%85
カリカル 新橋本店,35.666466,139.75934,미나토구,新橋駅,카레,2026,3.73,3059,https://tabelog.com/tokyo/A1301/A130103/13013413/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AA%E3%82%AB%E3%83%AB%20%E6%96%B0%E6%A9%8B%E6%9C%AC%E5%BA%97%20%E6%96%B0%E6%A9%8B%E9%A7%85
葡萄舎,35.689858,139.770801,지요다구,神田駅,카레,2026,3.76,1019,https://tabelog.com/tokyo/A1310/A131002/13036906/,https://www.google.com/maps/search/?api=1&query=%E8%91%A1%E8%90%84%E8%88%8E%20%E7%A5%9E%E7%94%B0%E9%A7%85
CURRY SHOP くじら 高円寺,35.706097,139.649165,스기나미구,高円寺駅,카레,2026,3.76,1445,https://tabelog.com/tokyo/A1319/A131904/13149528/,https://www.google.com/maps/search/?api=1&query=CURRY%20SHOP%20%E3%81%8F%E3%81%98%E3%82%89%20%E9%AB%98%E5%86%86%E5%AF%BA%20%E9%AB%98%E5%86%86%E5%AF%BA%E9%A7%85
ラッフルズ カリー,35.707324,139.778295,다이토구,仲御徒町駅,카레,2026,3.74,906,https://tabelog.com/tokyo/A1311/A131101/13033116/,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%83%E3%83%95%E3%83%AB%E3%82%BA%20%E3%82%AB%E3%83%AA%E3%83%BC%20%E4%BB%B2%E5%BE%A1%E5%BE%92%E7%94%BA%E9%A7%85
酒とスパイス マツコ,35.681922,139.772507,주오구,日本橋駅,카레,2026,3.83,422,https://tabelog.com/tokyo/A1302/A130202/13249791/,https://www.google.com/maps/search/?api=1&query=%E9%85%92%E3%81%A8%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%20%E3%83%9E%E3%83%84%E3%82%B3%20%E6%97%A5%E6%9C%AC%E6%A9%8B%E9%A7%85
スパイスパレット,35.700885,139.775854,지요다구,秋葉原駅,카레,2026,3.78,1042,https://tabelog.com/tokyo/A1311/A131101/13240357/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%83%91%E3%83%AC%E3%83%83%E3%83%88%20%E7%A7%8B%E8%91%89%E5%8E%9F%E9%A7%85
ストーン,35.697133,139.78547,다이토구,浅草橋駅,카레,2026,3.73,1677,https://tabelog.com/tokyo/A1311/A131103/13031461/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%88%E3%83%BC%E3%83%B3%20%E6%B5%85%E8%8D%89%E6%A9%8B%E9%A7%85
まめ蔵,35.704445,139.575886,武蔵野구,吉祥寺駅,카레,2026,3.74,2314,https://tabelog.com/tokyo/A1320/A132001/13005789/,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%82%81%E8%94%B5%20%E5%90%89%E7%A5%A5%E5%AF%BA%E9%A7%85
タイカリーピキヌー,35.632384,139.660729,세타가야구,駒沢大学駅,카레,2026,3.71,869,https://tabelog.com/tokyo/A1317/A131707/13001446/,https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%82%A4%E3%82%AB%E3%83%AA%E3%83%BC%E3%83%94%E3%82%AD%E3%83%8C%E3%83%BC%20%E9%A7%92%E6%B2%A2%E5%A4%A7%E5%AD%A6%E9%A7%85
チャントーヤ ココナッツカリー,35.696203,139.762944,지요다구,新御茶ノ水駅,카레,2026,3.78,1467,https://tabelog.com/tokyo/A1310/A131002/13131134/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A3%E3%83%B3%E3%83%88%E3%83%BC%E3%83%A4%20%E3%82%B3%E3%82%B3%E3%83%8A%E3%83%83%E3%83%84%E3%82%AB%E3%83%AA%E3%83%BC%20%E6%96%B0%E5%BE%A1%E8%8C%B6%E3%83%8E%E6%B0%B4%E9%A7%85
ホールスパイスカレー青藍,35.70943,139.64993,스기나미구,高円寺駅,카레,2026,3.78,1468,https://tabelog.com/tokyo/A1319/A131904/13215450/,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%82%AB%E3%83%AC%E3%83%BC%E9%9D%92%E8%97%8D%20%E9%AB%98%E5%86%86%E5%AF%BA%E9%A7%85
スパイシーカリーハウス 銀座半月,35.671269,139.761262,주오구,銀座駅,카레,2026,3.75,2560,https://tabelog.com/tokyo/A1301/A130101/13246897/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B7%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9%20%E9%8A%80%E5%BA%A7%E5%8D%8A%E6%9C%88%20%E9%8A%80%E5%BA%A7%E9%A7%85
東京ボンベイ 恵比寿本店,35.6434,139.711673,시부야구,恵比寿駅,카레,2026,3.76,1374,https://tabelog.com/tokyo/A1303/A130302/13221284/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%83%9C%E3%83%B3%E3%83%99%E3%82%A4%20%E6%81%B5%E6%AF%94%E5%AF%BF%E6%9C%AC%E5%BA%97%20%E6%81%B5%E6%AF%94%E5%AF%BF%E9%A7%85
旧ヤム邸  シモキタ荘,35.658426,139.667074,세타가야구,下北沢駅,카레,2026,3.81,2226,https://tabelog.com/tokyo/A1318/A131802/13211142/,https://www.google.com/maps/search/?api=1&query=%E6%97%A7%E3%83%A4%E3%83%A0%E9%82%B8%20%20%E3%82%B7%E3%83%A2%E3%82%AD%E3%82%BF%E8%8D%98%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E9%A7%85
ムルギー,35.658979,139.69659,시부야구,神泉駅,카레,2026,3.75,2408,https://tabelog.com/tokyo/A1303/A130301/13001732/,https://www.google.com/maps/search/?api=1&query=%E3%83%A0%E3%83%AB%E3%82%AE%E3%83%BC%20%E7%A5%9E%E6%B3%89%E9%A7%85
ジャパニーズ スパイス カリー ワッカ,35.675887,139.776253,주오구,八丁堀駅,카레,2026,3.8,1467,https://tabelog.com/tokyo/A1302/A130203/13254664/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A3%E3%83%91%E3%83%8B%E3%83%BC%E3%82%BA%20%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%20%E3%82%AB%E3%83%AA%E3%83%BC%20%E3%83%AF%E3%83%83%E3%82%AB%20%E5%85%AB%E4%B8%81%E5%A0%80%E9%A7%85
Spice Bar モンカリー,35.69822,139.696112,신주쿠구,大久保駅,카레,2026,3.84,440,https://tabelog.com/tokyo/A1304/A130404/13277319/,https://www.google.com/maps/search/?api=1&query=Spice%20Bar%20%E3%83%A2%E3%83%B3%E3%82%AB%E3%83%AA%E3%83%BC%20%E5%A4%A7%E4%B9%85%E4%BF%9D%E9%A7%85
パンチマハル,35.698806,139.758267,지요다구,神保町駅,카레,2026,3.78,1082,https://tabelog.com/tokyo/A1310/A131003/13026681/,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%B3%E3%83%81%E3%83%9E%E3%83%8F%E3%83%AB%20%E7%A5%9E%E4%BF%9D%E7%94%BA%E9%A7%85
SPICECURRY KERAKU,35.633802,139.717639,시나가와구,目黒駅,카레,2026,3.71,1028,https://tabelog.com/tokyo/A1316/A131601/13247708/,https://www.google.com/maps/search/?api=1&query=SPICECURRY%20KERAKU%20%E7%9B%AE%E9%BB%92%E9%A7%85
東京ドミニカ,35.69053,139.704378,신주쿠구,新宿三丁目駅,카레,2026,3.72,2150,https://tabelog.com/tokyo/A1304/A130401/13124113/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%83%89%E3%83%9F%E3%83%8B%E3%82%AB%20%E6%96%B0%E5%AE%BF%E4%B8%89%E4%B8%81%E7%9B%AE%E9%A7%85
キッチン アンド カリー,35.663907,139.658578,세타가야구,新代田駅,카레,2026,3.81,626,https://tabelog.com/tokyo/A1318/A131803/13224066/,https://www.google.com/maps/search/?api=1&query=%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%20%E3%82%A2%E3%83%B3%E3%83%89%20%E3%82%AB%E3%83%AA%E3%83%BC%20%E6%96%B0%E4%BB%A3%E7%94%B0%E9%A7%85
negombo33 高円寺,35.704678,139.650906,스기나미구,高円寺駅,카레,2026,3.77,974,https://tabelog.com/tokyo/A1319/A131904/13228221/,https://www.google.com/maps/search/?api=1&query=negombo33%20%E9%AB%98%E5%86%86%E5%AF%BA%20%E9%AB%98%E5%86%86%E5%AF%BA%E9%A7%85
かえる食堂,35.733818,139.702954,도시마구,要町駅,카레,2026,3.73,1060,https://tabelog.com/tokyo/A1322/A132202/13030312/,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%88%E3%82%8B%E9%A3%9F%E5%A0%82%20%E8%A6%81%E7%94%BA%E9%A7%85
東新宿 サンラサー,35.69505,139.707511,신주쿠구,東新宿駅,카레,2026,3.72,559,https://tabelog.com/tokyo/A1304/A130401/13215551/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E6%96%B0%E5%AE%BF%20%E3%82%B5%E3%83%B3%E3%83%A9%E3%82%B5%E3%83%BC%20%E6%9D%B1%E6%96%B0%E5%AE%BF%E9%A7%85
ジンコック,35.695138,139.768135,지요다구,淡路町駅,카레,2026,3.79,1200,https://tabelog.com/tokyo/A1310/A131002/13102075/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%B3%E3%82%B3%E3%83%83%E3%82%AF%20%E6%B7%A1%E8%B7%AF%E7%94%BA%E9%A7%85
エチオピアカリーキッチン 御茶ノ水ソラシティ店,35.698739,139.766073,지요다구,新御茶ノ水駅,카레,2026,3.72,1326,https://tabelog.com/tokyo/A1310/A131002/13154753/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%81%E3%82%AA%E3%83%94%E3%82%A2%E3%82%AB%E3%83%AA%E3%83%BC%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%20%E5%BE%A1%E8%8C%B6%E3%83%8E%E6%B0%B4%E3%82%BD%E3%83%A9%E3%82%B7%E3%83%86%E3%82%A3%E5%BA%97%20%E6%96%B0%E5%BE%A1%E8%8C%B6%E3%83%8E%E6%B0%B4%E9%A7%85
カレーショップ フェンネル,35.701799,139.599258,스기나미구,西荻窪駅,카레,2026,3.8,768,https://tabelog.com/tokyo/A1319/A131907/13273254/,https://www.google.com/maps/search/?api=1&query=%E3%82%AB%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%20%E3%83%95%E3%82%A7%E3%83%B3%E3%83%8D%E3%83%AB%20%E8%A5%BF%E8%8D%BB%E7%AA%AA%E9%A7%85
吉田カレー,35.706481,139.61814,스기나미구,荻窪駅,카레,2026,3.8,1837,https://tabelog.com/tokyo/A1319/A131906/13132405/,https://www.google.com/maps/search/?api=1&query=%E5%90%89%E7%94%B0%E3%82%AB%E3%83%AC%E3%83%BC%20%E8%8D%BB%E7%AA%AA%E9%A7%85
フィッシュ 新宿店,35.696521,139.698306,신주쿠구,西武新宿駅,카레,2026,3.79,2708,https://tabelog.com/tokyo/A1304/A130401/13222551/,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%20%E6%96%B0%E5%AE%BF%E5%BA%97%20%E8%A5%BF%E6%AD%A6%E6%96%B0%E5%AE%BF%E9%A7%85
デリー 上野店,35.708285,139.771255,분쿄구,上野広小路駅,카레,2026,3.79,3655,https://tabelog.com/tokyo/A1311/A131101/13003605/,https://www.google.com/maps/search/?api=1&query=%E3%83%87%E3%83%AA%E3%83%BC%20%E4%B8%8A%E9%87%8E%E5%BA%97%20%E4%B8%8A%E9%87%8E%E5%BA%83%E5%B0%8F%E8%B7%AF%E9%A7%85
ザ・カリ,35.662329,139.75492,미나토구,御成門駅,카레,2026,3.78,1695,https://tabelog.com/tokyo/A1301/A130103/13007129/,https://www.google.com/maps/search/?api=1&query=%E3%82%B6%E3%83%BB%E3%82%AB%E3%83%AA%20%E5%BE%A1%E6%88%90%E9%96%80%E9%A7%85
マリーアイランガニー,35.661266,139.696392,시부야구,神泉駅,카레,2026,3.76,1002,https://tabelog.com/tokyo/A1303/A130301/13166471/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%AA%E3%83%BC%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AC%E3%83%8B%E3%83%BC%20%E7%A5%9E%E6%B3%89%E9%A7%85
チキュウ マサラ,35.691673,139.706754,신주쿠구,新宿三丁目駅,카레,2026,3.73,995,https://tabelog.com/tokyo/A1304/A130401/13248884/,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%82%AD%E3%83%A5%E3%82%A6%20%E3%83%9E%E3%82%B5%E3%83%A9%20%E6%96%B0%E5%AE%BF%E4%B8%89%E4%B8%81%E7%9B%AE%E9%A7%85
SPICY CURRY 魯珈,35.6987,139.697733,신주쿠구,大久保駅,카레,2026,3.93,888,https://tabelog.com/tokyo/A1304/A130404/13286023/,https://www.google.com/maps/search/?api=1&query=SPICY%20CURRY%20%E9%AD%AF%E7%8F%88%20%E5%A4%A7%E4%B9%85%E4%BF%9D%E9%A7%85
