이름,위도,경도,구,최근역,백명점장르,최신연도,타베로그점수,리뷰수,타베로그,구글지도
プレミアム マリオジェラテリア 新宿伊勢丹店,35.691363,139.704321,신주쿠구,新宿三丁目駅,아이스·젤라토,2026,3.74,1595,https://tabelog.com/tokyo/A1304/A130401/13012042/,https://www.google.com/maps/search/?api=1&query=%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%20%E3%83%9E%E3%83%AA%E3%82%AA%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E6%96%B0%E5%AE%BF%E4%BC%8A%E5%8B%A2%E4%B8%B9%E5%BA%97%20%E6%96%B0%E5%AE%BF%E4%B8%89%E4%B8%81%E7%9B%AE%E9%A7%85
ジェラテリア シンチェリータ,35.709324,139.634677,스기나미구,阿佐ケ谷駅,아이스·젤라토,2026,3.78,1763,https://tabelog.com/tokyo/A1319/A131905/13108556/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%82%B7%E3%83%B3%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC%E3%82%BF%20%E9%98%BF%E4%BD%90%E3%82%B1%E8%B0%B7%E9%A7%85
レティエ,35.679142,139.708776,시부야구,北参道駅,아이스·젤라토,2026,3.7,841,https://tabelog.com/tokyo/A1309/A130901/13188523/,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%83%86%E3%82%A3%E3%82%A8%20%E5%8C%97%E5%8F%82%E9%81%93%E9%A7%85
リビスコ 銀座店,35.671484,139.766982,주오구,東銀座駅,아이스·젤라토,2026,3.7,1341,https://tabelog.com/tokyo/A1301/A130101/13212493/,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%83%93%E3%82%B9%E3%82%B3%20%E9%8A%80%E5%BA%A7%E5%BA%97%20%E6%9D%B1%E9%8A%80%E5%BA%A7%E9%A7%85
kasiki,35.674528,139.680293,시부야구,幡ケ谷駅,아이스·젤라토,2026,3.57,396,https://tabelog.com/tokyo/A1318/A131807/13278143/,https://www.google.com/maps/search/?api=1&query=kasiki%20%E5%B9%A1%E3%82%B1%E8%B0%B7%E9%A7%85
プレマルシェ・ジェラテリア 東京中目黒駅前店,35.643277,139.699471,메구로구,中目黒駅,아이스·젤라토,2026,3.83,901,https://tabelog.com/tokyo/A1317/A131701/13223646/,https://www.google.com/maps/search/?api=1&query=%E3%83%97%E3%83%AC%E3%83%9E%E3%83%AB%E3%82%B7%E3%82%A7%E3%83%BB%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E6%9D%B1%E4%BA%AC%E4%B8%AD%E7%9B%AE%E9%BB%92%E9%A7%85%E5%89%8D%E5%BA%97%20%E4%B8%AD%E7%9B%AE%E9%BB%92%E9%A7%85
FLOTO,35.679189,139.691899,시부야구,参宮橋駅,아이스·젤라토,2026,3.57,359,https://tabelog.com/tokyo/A1318/A131810/13207001/,https://www.google.com/maps/search/?api=1&query=FLOTO%20%E5%8F%82%E5%AE%AE%E6%A9%8B%E9%A7%85
Giolitti Cafe 有楽町店,35.67438,139.763654,지요다구,有楽町駅,아이스·젤라토,2026,3.58,513,https://tabelog.com/tokyo/A1301/A130102/13262740/,https://www.google.com/maps/search/?api=1&query=Giolitti%20Cafe%20%E6%9C%89%E6%A5%BD%E7%94%BA%E5%BA%97%20%E6%9C%89%E6%A5%BD%E7%94%BA%E9%A7%85
森乃園,35.685368,139.783643,주오구,人形町駅,아이스·젤라토 / 화과자,2026,3.72,1068,https://tabelog.com/tokyo/A1302/A130204/13041947/,https://www.google.com/maps/search/?api=1&query=%E6%A3%AE%E4%B9%83%E5%9C%92%20%E4%BA%BA%E5%BD%A2%E7%94%BA%E9%A7%85
ウッドベリーズ マルシェ,35.705009,139.581953,武蔵野구,吉祥寺駅,아이스·젤라토,2026,3.7,699,https://tabelog.com/tokyo/A1320/A132001/13161095/,https://www.google.com/maps/search/?api=1&query=%E3%82%A6%E3%83%83%E3%83%89%E3%83%99%E3%83%AA%E3%83%BC%E3%82%BA%20%E3%83%9E%E3%83%AB%E3%82%B7%E3%82%A7%20%E5%90%89%E7%A5%A5%E5%AF%BA%E9%A7%85
祇園辻利 東京スカイツリータウン・ソラマチ店,35.710358,139.812851,스미다구,押上駅,아이스·젤라토,2026,3.58,977,https://tabelog.com/tokyo/A1312/A131203/13141261/,https://www.google.com/maps/search/?api=1&query=%E7%A5%87%E5%9C%92%E8%BE%BB%E5%88%A9%20%E6%9D%B1%E4%BA%AC%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%84%E3%83%AA%E3%83%BC%E3%82%BF%E3%82%A6%E3%83%B3%E3%83%BB%E3%82%BD%E3%83%A9%E3%83%9E%E3%83%81%E5%BA%97%20%E6%8A%BC%E4%B8%8A%E9%A7%85
入谷鬼子母神門前のだや,35.720296,139.783092,다이토구,入谷駅,장어,2026,3.95,1315,https://tabelog.com/tokyo/A1311/A131104/13152282/,https://www.google.com/maps/search/?api=1&query=%E5%85%A5%E8%B0%B7%E9%AC%BC%E5%AD%90%E6%AF%8D%E7%A5%9E%E9%96%80%E5%89%8D%E3%81%AE%E3%81%A0%E3%82%84%20%E5%85%A5%E8%B0%B7%E9%A7%85
参宮橋 あさや,35.678525,139.693357,시부야구,参宮橋駅,장어,2026,4.33,377,https://tabelog.com/tokyo/A1318/A131810/13289291/,https://www.google.com/maps/search/?api=1&query=%E5%8F%82%E5%AE%AE%E6%A9%8B%20%E3%81%82%E3%81%95%E3%82%84%20%E5%8F%82%E5%AE%AE%E6%A9%8B%E9%A7%85
うなぎ秋本,35.684724,139.737474,지요다구,麹町駅,장어,2026,3.67,699,https://tabelog.com/tokyo/A1308/A130803/13000415/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E7%A7%8B%E6%9C%AC%20%E9%BA%B9%E7%94%BA%E9%A7%85
五代目 野田岩 麻布飯倉本店,35.658132,139.74338,미나토구,赤羽橋駅,장어,2026,3.68,1530,https://tabelog.com/tokyo/A1314/A131401/13002789/,https://www.google.com/maps/search/?api=1&query=%E4%BA%94%E4%BB%A3%E7%9B%AE%20%E9%87%8E%E7%94%B0%E5%B2%A9%20%E9%BA%BB%E5%B8%83%E9%A3%AF%E5%80%89%E6%9C%AC%E5%BA%97%20%E8%B5%A4%E7%BE%BD%E6%A9%8B%E9%A7%85
活鰻の店 つぐみ庵,35.737917,139.752758,기타구,駒込駅,장어,2026,4.25,225,https://tabelog.com/tokyo/A1323/A132301/13080463/,https://www.google.com/maps/search/?api=1&query=%E6%B4%BB%E9%B0%BB%E3%81%AE%E5%BA%97%20%E3%81%A4%E3%81%90%E3%81%BF%E5%BA%B5%20%E9%A7%92%E8%BE%BC%E9%A7%85
